type;number of algorithm;size;time;
рандом от 0 до 5_2;12;500;87507;
рандом от 0 до 5_2;0;600;1186003;
рандом от 0 до 5_2;1;600;3578270;
рандом от 0 до 5_2;2;600;3473844;
рандом от 0 до 5_2;3;600;4164513;
рандом от 0 до 5_2;4;600;67741;
рандом от 0 до 5_2;5;600;202623;
рандом от 0 до 5_2;6;600;1094671;
рандом от 0 до 5_2;7;600;217464;
рандом от 0 до 5_2;8;600;205012;
рандом от 0 до 5_2;9;600;52148;
рандом от 0 до 5_2;10;600;1213496;
рандом от 0 до 5_2;11;600;92001;
рандом от 0 до 5_2;12;600;110917;
рандом от 0 до 5_2;0;700;1501093;
рандом от 0 до 5_2;1;700;4962112;
рандом от 0 до 5_2;2;700;4523085;
рандом от 0 до 5_2;3;700;5267098;
рандом от 0 до 5_2;4;700;72556;
рандом от 0 до 5_2;5;700;224947;
рандом от 0 до 5_2;6;700;1290313;
рандом от 0 до 5_2;7;700;219281;
рандом от 0 до 5_2;8;700;250294;
рандом от 0 до 5_2;9;700;58481;
рандом от 0 до 5_2;10;700;1981737;
рандом от 0 до 5_2;11;700;96422;
рандом от 0 до 5_2;12;700;117903;
рандом от 0 до 5_2;0;800;1851470;
рандом от 0 до 5_2;1;800;5650203;
рандом от 0 до 5_2;2;800;6206228;
рандом от 0 до 5_2;3;800;7318843;
рандом от 0 до 5_2;4;800;91736;
рандом от 0 до 5_2;5;800;280233;
рандом от 0 до 5_2;6;800;1690580;
рандом от 0 до 5_2;7;800;295094;
рандом от 0 до 5_2;8;800;351787;
рандом от 0 до 5_2;9;800;71537;
рандом от 0 до 5_2;10;800;2315893;
рандом от 0 до 5_2;11;800;127477;
рандом от 0 до 5_2;12;800;176155;
рандом от 0 до 5_2;0;900;2319985;
рандом от 0 до 5_2;1;900;7753185;
рандом от 0 до 5_2;2;900;8089369;
рандом от 0 до 5_2;3;900;9528195;
рандом от 0 до 5_2;4;900;106267;
рандом от 0 до 5_2;5;900;363383;
рандом от 0 до 5_2;6;900;2311921;
рандом от 0 до 5_2;7;900;309796;
рандом от 0 до 5_2;8;900;511072;
рандом от 0 до 5_2;9;900;74156;
рандом от 0 до 5_2;10;900;2623098;
рандом от 0 до 5_2;11;900;127684;
рандом от 0 до 5_2;12;900;162592;
рандом от 0 до 5_2;0;1000;2826104;
рандом от 0 до 5_2;1;1000;9278523;
рандом от 0 до 5_2;2;1000;9286225;
рандом от 0 до 5_2;3;1000;10517750;
рандом от 0 до 5_2;4;1000;109303;
рандом от 0 до 5_2;5;1000;392927;
рандом от 0 до 5_2;6;1000;2505184;
рандом от 0 до 5_2;7;1000;305951;
рандом от 0 до 5_2;8;1000;476910;
рандом от 0 до 5_2;9;1000;74075;
рандом от 0 до 5_2;10;1000;3092684;
рандом от 0 до 5_2;11;1000;147679;
рандом от 0 до 5_2;12;1000;178249;
рандом от 0 до 5_2;0;1100;3113846;
рандом от 0 до 5_2;1;1100;10599517;
рандом от 0 до 5_2;2;1100;11153544;
рандом от 0 до 5_2;3;1100;12715971;
рандом от 0 до 5_2;4;1100;106400;
рандом от 0 до 5_2;5;1100;368363;
рандом от 0 до 5_2;6;1100;2744997;
рандом от 0 до 5_2;7;1100;339716;
рандом от 0 до 5_2;8;1100;540470;
рандом от 0 до 5_2;9;1100;78683;
рандом от 0 до 5_2;10;1100;3814516;
рандом от 0 до 5_2;11;1100;165361;
рандом от 0 до 5_2;12;1100;196244;
рандом от 0 до 5_2;0;1200;3958264;
рандом от 0 до 5_2;1;1200;12209788;
рандом от 0 до 5_2;2;1200;13411376;
рандом от 0 до 5_2;3;1200;13956053;
рандом от 0 до 5_2;4;1200;107072;
рандом от 0 до 5_2;5;1200;470942;
рандом от 0 до 5_2;6;1200;3465101;
рандом от 0 до 5_2;7;1200;353651;
рандом от 0 до 5_2;8;1200;585409;
рандом от 0 до 5_2;9;1200;84745;
рандом от 0 до 5_2;10;1200;4873908;
рандом от 0 до 5_2;11;1200;183600;
рандом от 0 до 5_2;12;1200;211569;
рандом от 0 до 5_2;0;1300;4122726;
рандом от 0 до 5_2;1;1300;15082721;
рандом от 0 до 5_2;2;1300;14802465;
рандом от 0 до 5_2;3;1300;15926299;
рандом от 0 до 5_2;4;1300;113198;
рандом от 0 до 5_2;5;1300;449182;
рандом от 0 до 5_2;6;1300;4104901;
рандом от 0 до 5_2;7;1300;405212;
рандом от 0 до 5_2;8;1300;713168;
рандом от 0 до 5_2;9;1300;111685;
рандом от 0 до 5_2;10;1300;5062169;
рандом от 0 до 5_2;11;1300;175318;
рандом от 0 до 5_2;12;1300;225289;
рандом от 0 до 5_2;0;1400;4791185;
рандом от 0 до 5_2;1;1400;15146161;
рандом от 0 до 5_2;2;1400;16800879;
рандом от 0 до 5_2;3;1400;19130468;
рандом от 0 до 5_2;4;1400;122188;
рандом от 0 до 5_2;5;1400;511693;
рандом от 0 до 5_2;6;1400;4445037;
рандом от 0 до 5_2;7;1400;428957;
рандом от 0 до 5_2;8;1400;802181;
рандом от 0 до 5_2;9;1400;93441;
рандом от 0 до 5_2;10;1400;6266382;
рандом от 0 до 5_2;11;1400;225871;
рандом от 0 до 5_2;12;1400;275618;
рандом от 0 до 5_2;0;1500;5537702;
рандом от 0 до 5_2;1;1500;18206283;
рандом от 0 до 5_2;2;1500;18793241;
рандом от 0 до 5_2;3;1500;21582484;
рандом от 0 до 5_2;4;1500;141216;
рандом от 0 до 5_2;5;1500;472810;
рандом от 0 до 5_2;6;1500;4965232;
рандом от 0 до 5_2;7;1500;436041;
рандом от 0 до 5_2;8;1500;879043;
рандом от 0 до 5_2;9;1500;147203;
рандом от 0 до 5_2;10;1500;6394122;
рандом от 0 до 5_2;11;1500;205299;
рандом от 0 до 5_2;12;1500;238790;
рандом от 0 до 5_2;0;1600;6305112;
рандом от 0 до 5_2;1;1600;20504581;
рандом от 0 до 5_2;2;1600;23058283;
рандом от 0 до 5_2;3;1600;26116181;
рандом от 0 до 5_2;4;1600;155350;
рандом от 0 до 5_2;5;1600;521085;
рандом от 0 до 5_2;6;1600;5695374;
рандом от 0 до 5_2;7;1600;552237;
рандом от 0 до 5_2;8;1600;1063832;
рандом от 0 до 5_2;9;1600;147021;
рандом от 0 до 5_2;10;1600;7665768;
рандом от 0 до 5_2;11;1600;252768;
рандом от 0 до 5_2;12;1600;375053;
рандом от 0 до 5_2;0;1700;7624684;
рандом от 0 до 5_2;1;1700;25654612;
рандом от 0 до 5_2;2;1700;26029656;
рандом от 0 до 5_2;3;1700;28847369;
рандом от 0 до 5_2;4;1700;148270;
рандом от 0 до 5_2;5;1700;556998;
рандом от 0 до 5_2;6;1700;6144937;
рандом от 0 до 5_2;7;1700;540304;
рандом от 0 до 5_2;8;1700;1206228;
рандом от 0 до 5_2;9;1700;112951;
рандом от 0 до 5_2;10;1700;8264742;
рандом от 0 до 5_2;11;1700;250830;
рандом от 0 до 5_2;12;1700;291088;
рандом от 0 до 5_2;0;1800;7844415;
рандом от 0 до 5_2;1;1800;27324711;
рандом от 0 до 5_2;2;1800;27363814;
рандом от 0 до 5_2;3;1800;31745149;
рандом от 0 до 5_2;4;1800;184680;
рандом от 0 до 5_2;5;1800;735598;
рандом от 0 до 5_2;6;1800;7628038;
рандом от 0 до 5_2;7;1800;547209;
рандом от 0 до 5_2;8;1800;1468825;
рандом от 0 до 5_2;9;1800;135802;
рандом от 0 до 5_2;10;1800;9827078;
рандом от 0 до 5_2;11;1800;261399;
рандом от 0 до 5_2;12;1800;318712;
рандом от 0 до 5_2;0;1900;9136623;
рандом от 0 до 5_2;1;1900;29880119;
рандом от 0 до 5_2;2;1900;31914077;
рандом от 0 до 5_2;3;1900;35288835;
рандом от 0 до 5_2;4;1900;166564;
рандом от 0 до 5_2;5;1900;644348;
рандом от 0 до 5_2;6;1900;7933837;
рандом от 0 до 5_2;7;1900;748594;
рандом от 0 до 5_2;8;1900;1462519;
рандом от 0 до 5_2;9;1900;129104;
рандом от 0 до 5_2;10;1900;10489326;
рандом от 0 до 5_2;11;1900;279951;
рандом от 0 до 5_2;12;1900;327991;
рандом от 0 до 5_2;0;2000;10240982;
рандом от 0 до 5_2;1;2000;32748500;
рандом от 0 до 5_2;2;2000;33853091;
рандом от 0 до 5_2;3;2000;38191791;
рандом от 0 до 5_2;4;2000;182851;
рандом от 0 до 5_2;5;2000;657220;
рандом от 0 до 5_2;6;2000;8374845;
рандом от 0 до 5_2;7;2000;592710;
рандом от 0 до 5_2;8;2000;1486486;
рандом от 0 до 5_2;9;2000;137727;
рандом от 0 до 5_2;10;2000;10565914;
рандом от 0 до 5_2;11;2000;297768;
рандом от 0 до 5_2;12;2000;359005;
рандом от 0 до 5_2;0;2100;10674971;
рандом от 0 до 5_2;1;2100;35276316;
рандом от 0 до 5_2;2;2100;35569266;
рандом от 0 до 5_2;3;2100;42383077;
рандом от 0 до 5_2;4;2100;182970;
рандом от 0 до 5_2;5;2100;695956;
рандом от 0 до 5_2;6;2100;9429408;
рандом от 0 до 5_2;7;2100;650232;
рандом от 0 до 5_2;8;2100;1869626;
рандом от 0 до 5_2;9;2100;156802;
рандом от 0 до 5_2;10;2100;11269417;
рандом от 0 до 5_2;11;2100;312812;
рандом от 0 до 5_2;12;2100;386556;
рандом от 0 до 5_2;0;2200;12997256;
рандом от 0 до 5_2;1;2200;55380069;
рандом от 0 до 5_2;2;2200;48659075;
рандом от 0 до 5_2;3;2200;89882435;
рандом от 0 до 5_2;4;2200;314960;
рандом от 0 до 5_2;5;2200;1509589;
рандом от 0 до 5_2;6;2200;27327955;
рандом от 0 до 5_2;7;2200;1768654;
рандом от 0 до 5_2;8;2200;4305609;
рандом от 0 до 5_2;9;2200;351682;
рандом от 0 до 5_2;10;2200;31286074;
рандом от 0 до 5_2;11;2200;785768;
рандом от 0 до 5_2;12;2200;652762;
рандом от 0 до 5_2;0;2300;22246900;
рандом от 0 до 5_2;1;2300;75110066;
рандом от 0 до 5_2;2;2300;64021503;
рандом от 0 до 5_2;3;2300;72004421;
рандом от 0 до 5_2;4;2300;263171;
рандом от 0 до 5_2;5;2300;1138781;
рандом от 0 до 5_2;6;2300;13840241;
рандом от 0 до 5_2;7;2300;1016720;
рандом от 0 до 5_2;8;2300;3370738;
рандом от 0 до 5_2;9;2300;196026;
рандом от 0 до 5_2;10;2300;25245132;
рандом от 0 до 5_2;11;2300;799413;
рандом от 0 до 5_2;12;2300;756167;
рандом от 0 до 5_2;0;2400;29233209;
рандом от 0 до 5_2;1;2400;103484932;
рандом от 0 до 5_2;2;2400;105897135;
рандом от 0 до 5_2;3;2400;84179346;
рандом от 0 до 5_2;4;2400;347009;
рандом от 0 до 5_2;5;2400;1076790;
рандом от 0 до 5_2;6;2400;27682546;
рандом от 0 до 5_2;7;2400;2912861;
рандом от 0 до 5_2;8;2400;5829900;
рандом от 0 до 5_2;9;2400;190510;
рандом от 0 до 5_2;10;2400;41139859;
рандом от 0 до 5_2;11;2400;406003;
рандом от 0 до 5_2;12;2400;628293;
рандом от 0 до 5_2;0;2500;19884034;
рандом от 0 до 5_2;1;2500;104452100;
рандом от 0 до 5_2;2;2500;108166773;
рандом от 0 до 5_2;3;2500;79884416;
рандом от 0 до 5_2;4;2500;223605;
рандом от 0 до 5_2;5;2500;857912;
рандом от 0 до 5_2;6;2500;19987033;
рандом от 0 до 5_2;7;2500;973966;
