type;number of algorithm;size;operations;
рандом от 0 до 5_2;1;1400;4896500;
рандом от 0 до 5_2;2;1400;5944682;
рандом от 0 до 5_2;3;1400;8780642;
рандом от 0 до 5_2;4;1400;26627;
рандом от 0 до 5_2;5;1400;224227;
рандом от 0 до 5_2;6;1400;1943994;
рандом от 0 до 5_2;7;1400;191013;
рандом от 0 до 5_2;8;1400;353607;
рандом от 0 до 5_2;9;1400;19232;
рандом от 0 до 5_2;10;1400;2943899;
рандом от 0 до 5_2;11;1400;59662;
рандом от 0 до 5_2;12;1400;70581;
рандом от 0 до 5_2;0;1500;2765204;
рандом от 0 до 5_2;1;1500;5621250;
рандом от 0 до 5_2;2;1500;6778512;
рандом от 0 до 5_2;3;1500;10107704;
рандом от 0 до 5_2;4;1500;28527;
рандом от 0 до 5_2;5;1500;243707;
рандом от 0 до 5_2;6;1500;2268464;
рандом от 0 до 5_2;7;1500;206133;
рандом от 0 до 5_2;8;1500;405007;
рандом от 0 до 5_2;9;1500;20532;
рандом от 0 до 5_2;10;1500;3379202;
рандом от 0 до 5_2;11;1500;64458;
рандом от 0 до 5_2;12;1500;75080;
рандом от 0 до 5_2;0;1600;3163651;
рандом от 0 до 5_2;1;1600;6396000;
рандом от 0 до 5_2;2;1600;7712823;
рандом от 0 до 5_2;3;1600;11508268;
рандом от 0 до 5_2;4;1600;30427;
рандом от 0 до 5_2;5;1600;261945;
рандом от 0 до 5_2;6;1600;2591484;
рандом от 0 до 5_2;7;1600;221437;
рандом от 0 до 5_2;8;1600;456649;
рандом от 0 до 5_2;9;1600;21832;
рандом от 0 до 5_2;10;1600;3844450;
рандом от 0 до 5_2;11;1600;69166;
рандом от 0 до 5_2;12;1600;86193;
рандом от 0 до 5_2;0;1700;3566483;
рандом от 0 до 5_2;1;1700;7220750;
рандом от 0 до 5_2;2;1700;8726872;
рандом от 0 до 5_2;3;1700;12989137;
рандом от 0 до 5_2;4;1700;32327;
рандом от 0 до 5_2;5;1700;278287;
рандом от 0 до 5_2;6;1700;2911019;
рандом от 0 до 5_2;7;1700;236816;
рандом от 0 до 5_2;8;1700;517985;
рандом от 0 до 5_2;9;1700;23132;
рандом от 0 до 5_2;10;1700;4339716;
рандом от 0 до 5_2;11;1700;74118;
рандом от 0 до 5_2;12;1700;86929;
рандом от 0 до 5_2;0;1800;4023646;
рандом от 0 до 5_2;1;1800;8095500;
рандом от 0 до 5_2;2;1800;9767673;
рандом от 0 до 5_2;3;1800;14569795;
рандом от 0 до 5_2;4;1800;34227;
рандом от 0 до 5_2;5;1800;297349;
рандом от 0 до 5_2;6;1800;3277789;
рандом от 0 до 5_2;7;1800;252162;
рандом от 0 до 5_2;8;1800;576669;
рандом от 0 до 5_2;9;1800;24432;
рандом от 0 до 5_2;10;1800;4865010;
рандом от 0 до 5_2;11;1800;78934;
