Number of substitution;Size of text;Size of alphabet;Size of pattern;Type of algorithm;Time(ns)
0;100000;4;200;Поиск с применением автомата КМП;412129
0;100000;4;300;Наивный алгоритм;445733
0;100000;4;300;Алгоритм КМП с применением стандартных граней;779899
0;100000;4;300;Алгоритм КМП с применением уточненных граней;712742
0;100000;4;300;Поиск с применением автомата КМП;492035
0;100000;4;400;Наивный алгоритм;427439
0;100000;4;400;Алгоритм КМП с применением стандартных граней;691224
0;100000;4;400;Алгоритм КМП с применением уточненных граней;792814
0;100000;4;400;Поиск с применением автомата КМП;421310
0;100000;4;500;Наивный алгоритм;522482
0;100000;4;500;Алгоритм КМП с применением стандартных граней;667342
0;100000;4;500;Алгоритм КМП с применением уточненных граней;596693
0;100000;4;500;Поиск с применением автомата КМП;509736
0;100000;4;600;Наивный алгоритм;473016
0;100000;4;600;Алгоритм КМП с применением стандартных граней;770684
0;100000;4;600;Алгоритм КМП с применением уточненных граней;703912
0;100000;4;600;Поиск с применением автомата КМП;396745
0;100000;4;700;Наивный алгоритм;551767
0;100000;4;700;Алгоритм КМП с применением стандартных граней;719535
0;100000;4;700;Алгоритм КМП с применением уточненных граней;713194
0;100000;4;700;Поиск с применением автомата КМП;502506
0;100000;4;800;Наивный алгоритм;445169
0;100000;4;800;Алгоритм КМП с применением стандартных граней;710170
0;100000;4;800;Алгоритм КМП с применением уточненных граней;679160
0;100000;4;800;Поиск с применением автомата КМП;406992
0;100000;4;900;Наивный алгоритм;458715
0;100000;4;900;Алгоритм КМП с применением стандартных граней;704610
0;100000;4;900;Алгоритм КМП с применением уточненных граней;666646
0;100000;4;900;Поиск с применением автомата КМП;496394
0;100000;4;1000;Наивный алгоритм;452398
0;100000;4;1000;Алгоритм КМП с применением стандартных граней;701438
0;100000;4;1000;Алгоритм КМП с применением уточненных граней;693769
0;100000;4;1000;Поиск с применением автомата КМП;440386
0;100000;4;1100;Наивный алгоритм;450733
0;100000;4;1100;Алгоритм КМП с применением стандартных граней;724462
0;100000;4;1100;Алгоритм КМП с применением уточненных граней;721889
0;100000;4;1100;Поиск с применением автомата КМП;521674
0;100000;4;1200;Наивный алгоритм;446919
0;100000;4;1200;Алгоритм КМП с применением стандартных граней;657409
0;100000;4;1200;Алгоритм КМП с применением уточненных граней;709679
0;100000;4;1200;Поиск с применением автомата КМП;432363
0;100000;4;1300;Наивный алгоритм;372616
0;100000;4;1300;Алгоритм КМП с применением стандартных граней;642344
0;100000;4;1300;Алгоритм КМП с применением уточненных граней;573808
0;100000;4;1300;Поиск с применением автомата КМП;420298
0;100000;4;1400;Наивный алгоритм;480680
0;100000;4;1400;Алгоритм КМП с применением стандартных граней;779989
0;100000;4;1400;Алгоритм КМП с применением уточненных граней;716799
0;100000;4;1400;Поиск с применением автомата КМП;418456
0;100000;4;1500;Наивный алгоритм;414443
0;100000;4;1500;Алгоритм КМП с применением стандартных граней;605085
0;100000;4;1500;Алгоритм КМП с применением уточненных граней;588329
0;100000;4;1500;Поиск с применением автомата КМП;472265
0;100000;4;1600;Наивный алгоритм;472467
0;100000;4;1600;Алгоритм КМП с применением стандартных граней;713798
0;100000;4;1600;Алгоритм КМП с применением уточненных граней;697222
0;100000;4;1600;Поиск с применением автомата КМП;537739
0;100000;4;1700;Наивный алгоритм;489122
0;100000;4;1700;Алгоритм КМП с применением стандартных граней;717503
0;100000;4;1700;Алгоритм КМП с применением уточненных граней;698312
0;100000;4;1700;Поиск с применением автомата КМП;479891
0;100000;4;1800;Наивный алгоритм;450726
0;100000;4;1800;Алгоритм КМП с применением стандартных граней;612540
0;100000;4;1800;Алгоритм КМП с применением уточненных граней;638189
0;100000;4;1800;Поиск с применением автомата КМП;566125
0;100000;4;1900;Наивный алгоритм;500282
0;100000;4;1900;Алгоритм КМП с применением стандартных граней;690599
0;100000;4;1900;Алгоритм КМП с применением уточненных граней;707755
0;100000;4;1900;Поиск с применением автомата КМП;487857
0;100000;4;2000;Наивный алгоритм;385191
0;100000;4;2000;Алгоритм КМП с применением стандартных граней;632866
0;100000;4;2000;Алгоритм КМП с применением уточненных граней;644987
0;100000;4;2000;Поиск с применением автомата КМП;463338
0;100000;4;2100;Наивный алгоритм;436896
0;100000;4;2100;Алгоритм КМП с применением стандартных граней;727943
0;100000;4;2100;Алгоритм КМП с применением уточненных граней;1018376
0;100000;4;2100;Поиск с применением автомата КМП;524563
0;100000;4;2200;Наивный алгоритм;504756
0;100000;4;2200;Алгоритм КМП с применением стандартных граней;745124
0;100000;4;2200;Алгоритм КМП с применением уточненных граней;721746
0;100000;4;2200;Поиск с применением автомата КМП;492580
0;100000;4;2300;Наивный алгоритм;493170
0;100000;4;2300;Алгоритм КМП с применением стандартных граней;682387
0;100000;4;2300;Алгоритм КМП с применением уточненных граней;727183
0;100000;4;2300;Поиск с применением автомата КМП;505035
0;100000;4;2400;Наивный алгоритм;423681
0;100000;4;2400;Алгоритм КМП с применением стандартных граней;698152
0;100000;4;2400;Алгоритм КМП с применением уточненных граней;667096
0;100000;4;2400;Поиск с применением автомата КМП;496359
0;100000;4;2500;Наивный алгоритм;490154
0;100000;4;2500;Алгоритм КМП с применением стандартных граней;683256
0;100000;4;2500;Алгоритм КМП с применением уточненных граней;748954
0;100000;4;2500;Поиск с применением автомата КМП;469460
0;100000;4;2600;Наивный алгоритм;383961
0;100000;4;2600;Алгоритм КМП с применением стандартных граней;613820
0;100000;4;2600;Алгоритм КМП с применением уточненных граней;616675
0;100000;4;2600;Поиск с применением автомата КМП;478731
0;100000;4;2700;Наивный алгоритм;441447
0;100000;4;2700;Алгоритм КМП с применением стандартных граней;746398
0;100000;4;2700;Алгоритм КМП с применением уточненных граней;683029
0;100000;4;2700;Поиск с применением автомата КМП;564670
0;100000;4;2800;Наивный алгоритм;431788
0;100000;4;2800;Алгоритм КМП с применением стандартных граней;647010
0;100000;4;2800;Алгоритм КМП с применением уточненных граней;684223
0;100000;4;2800;Поиск с применением автомата КМП;513842
0;100000;4;2900;Наивный алгоритм;500594
0;100000;4;2900;Алгоритм КМП с применением стандартных граней;699467
0;100000;4;2900;Алгоритм КМП с применением уточненных граней;832048
0;100000;4;2900;Поиск с применением автомата КМП;532257
0;100000;4;3000;Наивный алгоритм;407828
0;100000;4;3000;Алгоритм КМП с применением стандартных граней;622319
0;100000;4;3000;Алгоритм КМП с применением уточненных граней;625413
0;100000;4;3000;Поиск с применением автомата КМП;495308
1;10000;2;100;Наивный алгоритм;108398
1;10000;2;100;Алгоритм КМП с применением стандартных граней;108514
1;10000;2;100;Алгоритм КМП с применением уточненных граней;105890
1;10000;2;100;Поиск с применением автомата КМП;75854
1;10000;2;200;Наивный алгоритм;143638
1;10000;2;200;Алгоритм КМП с применением стандартных граней;127176
1;10000;2;200;Алгоритм КМП с применением уточненных граней;127844
1;10000;2;200;Поиск с применением автомата КМП;83671
1;10000;2;300;Наивный алгоритм;108758
1;10000;2;300;Алгоритм КМП с применением стандартных граней;116611
