type; algorithm; size; operations
рандом от 0 до 5;1200;22827;
рандом от 0 до 5;1200;186978;
рандом от 0 до 5;1200;1541289;
рандом от 0 до 5;1200;160481;
рандом от 0 до 5;1200;262481;
рандом от 0 до 5;1200;16632;
рандом от 0 до 5;1200;2163324;
рандом от 0 до 5;1200;50414;
рандом от 0 до 5;1200;62312;
рандом от 0 до 5;1300;2083376;
рандом от 0 до 5;1300;4221750;
рандом от 0 до 5;1300;5033598;
рандом от 0 до 5;1300;7618193;
рандом от 0 до 5;1300;24727;
рандом от 0 до 5;1300;206304;
рандом от 0 до 5;1300;1766579;
рандом от 0 до 5;1300;175824;
рандом от 0 до 5;1300;306865;
рандом от 0 до 5;1300;17932;
рандом от 0 до 5;1300;2538578;
рандом от 0 до 5;1300;55154;
рандом от 0 до 5;1300;67130;
рандом от 0 до 5;1400;2411172;
рандом от 0 до 5;1400;4896500;
рандом от 0 до 5;1400;5831437;
рандом от 0 до 5;1400;8851191;
рандом от 0 до 5;1400;26627;
рандом от 0 до 5;1400;223615;
рандом от 0 до 5;1400;2055629;
рандом от 0 до 5;1400;191079;
рандом от 0 до 5;1400;355131;
рандом от 0 до 5;1400;19232;
рандом от 0 до 5;1400;2943864;
рандом от 0 до 5;1400;59866;
рандом от 0 до 5;1400;71367;
рандом от 0 до 5;1500;2753685;
рандом от 0 до 5;1500;5621250;
рандом от 0 до 5;1500;6695153;
рандом от 0 до 5;1500;10154354;
рандом от 0 до 5;1500;28527;
рандом от 0 до 5;1500;242384;
рандом от 0 до 5;1500;2353154;
рандом от 0 до 5;1500;206302;
рандом от 0 до 5;1500;403879;
рандом от 0 до 5;1500;20532;
рандом от 0 до 5;1500;3379124;
рандом от 0 до 5;1500;64506;
рандом от 0 до 5;1500;75896;
рандом от 0 до 5;1600;3144058;
рандом от 0 до 5;1600;6396000;
рандом от 0 до 5;1600;7605623;
рандом от 0 до 5;1600;11572051;
рандом от 0 до 5;1600;30427;
рандом от 0 до 5;1600;260412;
рандом от 0 до 5;1600;2694309;
рандом от 0 до 5;1600;221570;
рандом от 0 до 5;1600;459111;
рандом от 0 до 5;1600;21832;
рандом от 0 до 5;1600;3844436;
рандом от 0 до 5;1600;69342;
