type; size; time
рандом от 0 до 5;900;1356363;
рандом от 0 до 5;900;5954289;
рандом от 0 до 5;900;4546144;
рандом от 0 до 5;900;5189736;
рандом от 0 до 5;900;31042;
рандом от 0 до 5;900;169746;
рандом от 0 до 5;900;903188;
рандом от 0 до 5;900;170145;
рандом от 0 до 5;900;415388;
рандом от 0 до 5;900;38035;
рандом от 0 до 5;900;2594427;
рандом от 0 до 5;900;92534;
рандом от 0 до 5;900;127327;
рандом от 0 до 5;1000;1921768;
рандом от 0 до 5;1000;9542577;
рандом от 0 до 5;1000;7221790;
рандом от 0 до 5;1000;6842423;
рандом от 0 до 5;1000;39075;
рандом от 0 до 5;1000;200361;
рандом от 0 до 5;1000;1738165;
рандом от 0 до 5;1000;198512;
рандом от 0 до 5;1000;296062;
рандом от 0 до 5;1000;20885;
рандом от 0 до 5;1000;2814278;
рандом от 0 до 5;1000;88227;
рандом от 0 до 5;1000;137629;
рандом от 0 до 5;1100;1340963;
рандом от 0 до 5;1100;8260644;
рандом от 0 до 5;1100;12781958;
рандом от 0 до 5;1100;7988441;
рандом от 0 до 5;1100;40845;
рандом от 0 до 5;1100;218659;
рандом от 0 до 5;1100;2336505;
рандом от 0 до 5;1100;217717;
рандом от 0 до 5;1100;615265;
рандом от 0 до 5;1100;40528;
рандом от 0 до 5;1100;2595611;
рандом от 0 до 5;1100;84882;
рандом от 0 до 5;1100;109615;
рандом от 0 до 5;1200;2253945;
рандом от 0 до 5;1200;16676612;
рандом от 0 до 5;1200;9203809;
рандом от 0 до 5;1200;8038276;
рандом от 0 до 5;1200;44630;
рандом от 0 до 5;1200;241615;
рандом от 0 до 5;1200;1529076;
рандом от 0 до 5;1200;164624;
рандом от 0 до 5;1200;404144;
рандом от 0 до 5;1200;19464;
рандом от 0 до 5;1200;2786924;
рандом от 0 до 5;1200;87758;
рандом от 0 до 5;1200;122699;
рандом от 0 до 5;1300;1704480;
рандом от 0 до 5;1300;8841405;
рандом от 0 до 5;1300;9911492;
рандом от 0 до 5;1300;10666138;
рандом от 0 до 5;1300;46522;
рандом от 0 до 5;1300;278350;
рандом от 0 до 5;1300;1985975;
рандом от 0 до 5;1300;181561;
рандом от 0 до 5;1300;490946;
рандом от 0 до 5;1300;22750;
рандом от 0 до 5;1300;3257239;
рандом от 0 до 5;1300;101714;
рандом от 0 до 5;1300;125991;
рандом от 0 до 5;1400;1868839;
рандом от 0 до 5;1400;11424802;
рандом от 0 до 5;1400;10647734;
рандом от 0 до 5;1400;11759447;
рандом от 0 до 5;1400;45463;
рандом от 0 до 5;1400;296685;
рандом от 0 до 5;1400;2168655;
рандом от 0 до 5;1400;190341;
рандом от 0 до 5;1400;540218;
рандом от 0 до 5;1400;22718;
рандом от 0 до 5;1400;3784925;
рандом от 0 до 5;1400;121866;
рандом от 0 до 5;1400;143415;
рандом от 0 до 5;1500;2191539;
рандом от 0 до 5;1500;12109845;
рандом от 0 до 5;1500;11921607;
рандом от 0 до 5;1500;13917710;
рандом от 0 до 5;1500;50555;
рандом от 0 до 5;1500;289646;
рандом от 0 до 5;1500;2711391;
рандом от 0 до 5;1500;230866;
рандом от 0 до 5;1500;620503;
рандом от 0 до 5;1500;34114;
рандом от 0 до 5;1500;4699821;
рандом от 0 до 5;1500;122745;
рандом от 0 до 5;1500;144456;
рандом от 0 до 5;1600;2403218;
рандом от 0 до 5;1600;15123890;
рандом от 0 до 5;1600;13998332;
рандом от 0 до 5;1600;17649888;
рандом от 0 до 5;1600;57101;
рандом от 0 до 5;1600;518231;
рандом от 0 до 5;1600;3318195;
рандом от 0 до 5;1600;235948;
рандом от 0 до 5;1600;897225;
рандом от 0 до 5;1600;30737;
рандом от 0 до 5;1600;5154508;
рандом от 0 до 5;1600;130254;
рандом от 0 до 5;1600;180788;
рандом от 0 до 5;1700;2735314;
рандом от 0 до 5;1700;16053911;
рандом от 0 до 5;1700;15790123;
рандом от 0 до 5;1700;16797799;
рандом от 0 до 5;1700;55329;
рандом от 0 до 5;1700;356949;
рандом от 0 до 5;1700;3214715;
рандом от 0 до 5;1700;257110;
рандом от 0 до 5;1700;862187;
рандом от 0 до 5;1700;29238;
рандом от 0 до 5;1700;5946645;
рандом от 0 до 5;1700;161688;
рандом от 0 до 5;1700;313771;
рандом от 0 до 5;1800;3512854;
рандом от 0 до 5;1800;19092944;
рандом от 0 до 5;1800;17795227;
рандом от 0 до 5;1800;18000426;
рандом от 0 до 5;1800;77320;
рандом от 0 до 5;1800;389318;
рандом от 0 до 5;1800;3832034;
рандом от 0 до 5;1800;276272;
рандом от 0 до 5;1800;887706;
рандом от 0 до 5;1800;30720;
рандом от 0 до 5;1800;7168346;
рандом от 0 до 5;1800;150961;
рандом от 0 до 5;1800;184891;
рандом от 0 до 5;1900;3683907;
рандом от 0 до 5;1900;20495810;
рандом от 0 до 5;1900;20835450;
рандом от 0 до 5;1900;21258387;
рандом от 0 до 5;1900;90566;
рандом от 0 до 5;1900;419682;
рандом от 0 до 5;1900;3924606;
рандом от 0 до 5;1900;266256;
рандом от 0 до 5;1900;1045744;
рандом от 0 до 5;1900;44553;
рандом от 0 до 5;1900;7592513;
рандом от 0 до 5;1900;157226;
рандом от 0 до 5;1900;187666;
рандом от 0 до 5;2000;4845221;
рандом от 0 до 5;2000;25664846;
рандом от 0 до 5;2000;22653288;
рандом от 0 до 5;2000;24844494;
рандом от 0 до 5;2000;68940;
рандом от 0 до 5;2000;448967;
рандом от 0 до 5;2000;4280998;
рандом от 0 до 5;2000;271834;
рандом от 0 до 5;2000;940599;
рандом от 0 до 5;2000;39335;
рандом от 0 до 5;2000;8704436;
рандом от 0 до 5;2000;149555;
рандом от 0 до 5;2000;188996;
рандом от 0 до 5;2100;4929848;
рандом от 0 до 5;2100;25612930;
рандом от 0 до 5;2100;24090830;
рандом от 0 до 5;2100;29035013;
рандом от 0 до 5;2100;73816;
рандом от 0 до 5;2100;460308;
рандом от 0 до 5;2100;4770120;
рандом от 0 до 5;2100;297178;
рандом от 0 до 5;2100;1118489;
рандом от 0 до 5;2100;34756;
рандом от 0 до 5;2100;8086830;
рандом от 0 до 5;2100;156495;
рандом от 0 до 5;2100;203500;
рандом от 0 до 5;2200;4547843;
рандом от 0 до 5;2200;27528750;
рандом от 0 до 5;2200;26684149;
рандом от 0 до 5;2200;36121810;
рандом от 0 до 5;2200;288381;
рандом от 0 до 5;2200;772439;
рандом от 0 до 5;2200;7783605;
рандом от 0 до 5;2200;504568;
рандом от 0 до 5;2200;2106689;
