type;number of algorithm;size;time;
рандом от 0 до 5_2;5;1400;1116571;
рандом от 0 до 5_2;6;1400;5636823;
рандом от 0 до 5_2;7;1400;333672;
рандом от 0 до 5_2;8;1400;1094029;
рандом от 0 до 5_2;9;1400;64563;
рандом от 0 до 5_2;10;1400;10720477;
рандом от 0 до 5_2;11;1400;386910;
рандом от 0 до 5_2;12;1400;428183;
рандом от 0 до 5_2;0;1500;6788701;
рандом от 0 до 5_2;1;1500;20739114;
рандом от 0 до 5_2;2;1500;15840652;
рандом от 0 до 5_2;3;1500;22198756;
рандом от 0 до 5_2;4;1500;137701;
рандом от 0 до 5_2;5;1500;733574;
рандом от 0 до 5_2;6;1500;5257422;
рандом от 0 до 5_2;7;1500;502640;
рандом от 0 до 5_2;8;1500;1254131;
рандом от 0 до 5_2;9;1500;48985;
рандом от 0 до 5_2;10;1500;7107129;
рандом от 0 до 5_2;11;1500;156518;
рандом от 0 до 5_2;12;1500;255925;
рандом от 0 до 5_2;0;1600;5315833;
рандом от 0 до 5_2;1;1600;19820821;
рандом от 0 до 5_2;2;1600;17346851;
рандом от 0 до 5_2;3;1600;18506100;
рандом от 0 до 5_2;4;1600;68233;
рандом от 0 до 5_2;5;1600;362115;
рандом от 0 до 5_2;6;1600;3501399;
рандом от 0 до 5_2;7;1600;466110;
рандом от 0 до 5_2;8;1600;1240917;
рандом от 0 до 5_2;9;1600;34743;
рандом от 0 до 5_2;10;1600;6198233;
рандом от 0 до 5_2;11;1600;154964;
рандом от 0 до 5_2;12;1600;212785;
рандом от 0 до 5_2;0;1700;6074949;
рандом от 0 до 5_2;1;1700;24451851;
рандом от 0 до 5_2;2;1700;22910960;
рандом от 0 до 5_2;3;1700;36505550;
рандом от 0 до 5_2;4;1700;142145;
рандом от 0 до 5_2;5;1700;748539;
рандом от 0 до 5_2;6;1700;6521307;
рандом от 0 до 5_2;7;1700;529495;
рандом от 0 до 5_2;8;1700;1808580;
рандом от 0 до 5_2;9;1700;97943;
рандом от 0 до 5_2;10;1700;10269889;
рандом от 0 до 5_2;11;1700;285751;
рандом от 0 до 5_2;12;1700;356929;
рандом от 0 до 5_2;0;1800;8284828;
рандом от 0 до 5_2;1;1800;39372326;
рандом от 0 до 5_2;2;1800;50786770;
рандом от 0 до 5_2;3;1800;48823790;
рандом от 0 до 5_2;4;1800;182115;
рандом от 0 до 5_2;5;1800;940438;
рандом от 0 до 5_2;6;1800;9366140;
рандом от 0 до 5_2;7;1800;449628;
рандом от 0 до 5_2;8;1800;1417390;
рандом от 0 до 5_2;9;1800;45716;
рандом от 0 до 5_2;10;1800;13250398;
рандом от 0 до 5_2;11;1800;339663;
рандом от 0 до 5_2;12;1800;433836;
рандом от 0 до 5_2;0;1900;7165527;
рандом от 0 до 5_2;1;1900;28637762;
рандом от 0 до 5_2;2;1900;22942839;
рандом от 0 до 5_2;3;1900;23535186;
рандом от 0 до 5_2;4;1900;74050;
рандом от 0 до 5_2;5;1900;426742;
рандом от 0 до 5_2;6;1900;4564725;
рандом от 0 до 5_2;7;1900;301128;
рандом от 0 до 5_2;8;1900;1147618;
рандом от 0 до 5_2;9;1900;37853;
рандом от 0 до 5_2;10;1900;10351435;
рандом от 0 до 5_2;11;1900;177232;
рандом от 0 до 5_2;12;1900;199258;
рандом от 0 до 5_2;0;2000;4491673;
рандом от 0 до 5_2;1;2000;23052256;
рандом от 0 до 5_2;2;2000;21735240;
рандом от 0 до 5_2;3;2000;25531139;
рандом от 0 до 5_2;4;2000;93841;
рандом от 0 до 5_2;5;2000;556718;
рандом от 0 до 5_2;6;2000;4678683;
рандом от 0 до 5_2;7;2000;285574;
рандом от 0 до 5_2;8;2000;1085163;
рандом от 0 до 5_2;9;2000;49275;
рандом от 0 до 5_2;10;2000;8466051;
рандом от 0 до 5_2;11;2000;164346;
рандом от 0 до 5_2;12;2000;200927;
рандом от 0 до 5_2;0;2100;6447353;
рандом от 0 до 5_2;1;2100;25997437;
рандом от 0 до 5_2;2;2100;26788810;
рандом от 0 до 5_2;3;2100;38891193;
рандом от 0 до 5_2;4;2100;140380;
рандом от 0 до 5_2;5;2100;1309221;
рандом от 0 до 5_2;6;2100;18327016;
рандом от 0 до 5_2;7;2100;1486858;
рандом от 0 до 5_2;8;2100;4398616;
рандом от 0 до 5_2;9;2100;59767;
рандом от 0 до 5_2;10;2100;14408983;
рандом от 0 до 5_2;11;2100;171768;
рандом от 0 до 5_2;12;2100;213737;
рандом от 0 до 5_2;0;2200;5217268;
рандом от 0 до 5_2;1;2200;44314058;
рандом от 0 до 5_2;2;2200;27632734;
рандом от 0 до 5_2;3;2200;27951017;
рандом от 0 до 5_2;4;2200;72735;
рандом от 0 до 5_2;5;2200;423738;
рандом от 0 до 5_2;6;2200;5742381;
рандом от 0 до 5_2;7;2200;284302;
рандом от 0 до 5_2;8;2200;1279784;
рандом от 0 до 5_2;9;2200;34532;
рандом от 0 до 5_2;10;2200;10451992;
рандом от 0 до 5_2;11;2200;307918;
рандом от 0 до 5_2;12;2200;414226;
рандом от 0 до 5_2;0;2300;5594788;
рандом от 0 до 5_2;1;2300;28737659;
рандом от 0 до 5_2;2;2300;32726443;
рандом от 0 до 5_2;3;2300;32119508;
рандом от 0 до 5_2;4;2300;163584;
рандом от 0 до 5_2;5;2300;891071;
рандом от 0 до 5_2;6;2300;8092564;
рандом от 0 до 5_2;7;2300;325845;
рандом от 0 до 5_2;8;2300;1314342;
рандом от 0 до 5_2;9;2300;40387;
рандом от 0 до 5_2;10;2300;11072217;
рандом от 0 до 5_2;11;2300;198480;
рандом от 0 до 5_2;12;2300;229592;
рандом от 0 до 5_2;0;2400;5654365;
рандом от 0 до 5_2;1;2400;34901958;
рандом от 0 до 5_2;2;2400;36973426;
рандом от 0 до 5_2;3;2400;38751688;
рандом от 0 до 5_2;4;2400;87277;
рандом от 0 до 5_2;5;2400;575487;
рандом от 0 до 5_2;6;2400;6379358;
рандом от 0 до 5_2;7;2400;344235;
рандом от 0 до 5_2;8;2400;1898734;
рандом от 0 до 5_2;9;2400;41290;
рандом от 0 до 5_2;10;2400;11493805;
рандом от 0 до 5_2;11;2400;208843;
рандом от 0 до 5_2;12;2400;268319;
рандом от 0 до 5_2;0;2500;7019556;
рандом от 0 до 5_2;1;2500;38869357;
рандом от 0 до 5_2;2;2500;31680588;
рандом от 0 до 5_2;3;2500;36440975;
рандом от 0 до 5_2;4;2500;175479;
рандом от 0 до 5_2;5;2500;926109;
рандом от 0 до 5_2;6;2500;6763204;
рандом от 0 до 5_2;7;2500;330988;
рандом от 0 до 5_2;8;2500;1558074;
рандом от 0 до 5_2;9;2500;43690;
рандом от 0 до 5_2;10;2500;11533538;
рандом от 0 до 5_2;11;2500;219859;
рандом от 0 до 5_2;12;2500;251885;
рандом от 0 до 5_2;0;2600;6453264;
рандом от 0 до 5_2;1;2600;37959668;
рандом от 0 до 5_2;2;2600;41381751;
рандом от 0 до 5_2;3;2600;55237770;
рандом от 0 до 5_2;4;2600;87175;
рандом от 0 до 5_2;5;2600;546241;
рандом от 0 до 5_2;6;2600;6780673;
рандом от 0 до 5_2;7;2600;374738;
рандом от 0 до 5_2;8;2600;1637366;
рандом от 0 до 5_2;9;2600;42821;
рандом от 0 до 5_2;10;2600;13798692;
рандом от 0 до 5_2;11;2600;226357;
рандом от 0 до 5_2;12;2600;315059;
рандом от 0 до 5_2;0;2700;7135550;
рандом от 0 до 5_2;1;2700;38048870;
рандом от 0 до 5_2;2;2700;37099143;
рандом от 0 до 5_2;3;2700;39942195;
рандом от 0 до 5_2;4;2700;88785;
рандом от 0 до 5_2;5;2700;568027;
рандом от 0 до 5_2;6;2700;7517330;
рандом от 0 до 5_2;7;2700;354255;
рандом от 0 до 5_2;8;2700;1662128;
рандом от 0 до 5_2;9;2700;45539;
