Number of substitution;Size of text;Size_of_alphabet;Size of pattern;Type of algorithm;Time(ns)
0;100000;2;700;Алгоритм КМП с применением стандартных граней;2397819
0;100000;2;700;Алгоритм КМП с применением уточненных граней;2647511
0;100000;2;800;Наивный алгоритм;2683265
0;100000;2;800;Алгоритм КМП с применением стандартных граней;2913878
0;100000;2;800;Алгоритм КМП с применением уточненных граней;2379054
0;100000;2;900;Наивный алгоритм;2756596
0;100000;2;900;Алгоритм КМП с применением стандартных граней;3209211
0;100000;2;900;Алгоритм КМП с применением уточненных граней;2836198
0;100000;2;1000;Наивный алгоритм;3617485
0;100000;2;1000;Алгоритм КМП с применением стандартных граней;3174628
0;100000;2;1000;Алгоритм КМП с применением уточненных граней;2787593
0;100000;2;1100;Наивный алгоритм;3223508
0;100000;2;1100;Алгоритм КМП с применением стандартных граней;2818234
0;100000;2;1100;Алгоритм КМП с применением уточненных граней;3253871
0;100000;2;1200;Наивный алгоритм;2791285
0;100000;2;1200;Алгоритм КМП с применением стандартных граней;3803378
0;100000;2;1200;Алгоритм КМП с применением уточненных граней;5418244
0;100000;2;1300;Наивный алгоритм;3022491
0;100000;2;1300;Алгоритм КМП с применением стандартных граней;3457422
0;100000;2;1300;Алгоритм КМП с применением уточненных граней;3902909
0;100000;2;1400;Наивный алгоритм;2789374
0;100000;2;1400;Алгоритм КМП с применением стандартных граней;3470514
0;100000;2;1400;Алгоритм КМП с применением уточненных граней;3376549
0;100000;2;1500;Наивный алгоритм;5221480
0;100000;2;1500;Алгоритм КМП с применением стандартных граней;6188850
0;100000;2;1500;Алгоритм КМП с применением уточненных граней;2965429
0;100000;2;1600;Наивный алгоритм;3852465
0;100000;2;1600;Алгоритм КМП с применением стандартных граней;2996201
0;100000;2;1600;Алгоритм КМП с применением уточненных граней;3040099
0;100000;2;1700;Наивный алгоритм;3629956
0;100000;2;1700;Алгоритм КМП с применением стандартных граней;3217489
0;100000;2;1700;Алгоритм КМП с применением уточненных граней;4366488
0;100000;2;1800;Наивный алгоритм;3504051
0;100000;2;1800;Алгоритм КМП с применением стандартных граней;4007119
0;100000;2;1800;Алгоритм КМП с применением уточненных граней;3274148
0;100000;2;1900;Наивный алгоритм;3177232
0;100000;2;1900;Алгоритм КМП с применением стандартных граней;2537205
0;100000;2;1900;Алгоритм КМП с применением уточненных граней;3592692
0;100000;2;2000;Наивный алгоритм;4545680
0;100000;2;2000;Алгоритм КМП с применением стандартных граней;2628730
0;100000;2;2000;Алгоритм КМП с применением уточненных граней;2785683
0;100000;2;2100;Наивный алгоритм;2708776
0;100000;2;2100;Алгоритм КМП с применением стандартных граней;2786025
0;100000;2;2100;Алгоритм КМП с применением уточненных граней;3122399
0;100000;2;2200;Наивный алгоритм;6232068
0;100000;2;2200;Алгоритм КМП с применением стандартных граней;6582433
0;100000;2;2200;Алгоритм КМП с применением уточненных граней;6582256
